cust_id,age,occupation,risk_tolerance,investment_goals,education,marital_status,dependents,region,financial_history,sector,income_level,account_balance,account_deposits,account_withdrawals,account_transfers,international_transfers,account_investments,account_type,loan_amount,loan_purpose,employment_status,loan_term,interest_rate,loan_status
0056,39,Developer,Medium,Wealth Preservation,High School,Married,2,Australia,Excellent,Healthcare,795.1844624,1252.875391,472.9430978,343.4328277,238.1429585,22.71080626,231.3463422,investment,5000,Debt Consolidation,Unemployed,48,0.0872,rejected
0057,43,Lawyer,Medium,Wealth Preservation,PhD,Married,0,Europe,Poor,Manufacturing,426.4320824,1000,101.1761521,194.6869564,147.9512941,34.63999243,187.5398333,savings,5000,Medical Expenses,Employed,12,0.0816,rejected
0058,31,Teacher,Medium,Income Generation,Master's,Divorced,2,Europe,Poor,Education,1481.361133,2955.758631,343.30339,395.6243243,374.2158717,35.58490384,511.8405585,investment,5000,Medical Expenses,Retired,36,0.0768,rejected
0059,76,Retiree,High,Wealth Preservation,Bachelor's,Divorced,1,North America,Excellent,Technology,48980.3249,75046.68213,32288.99703,10720.01493,17270.72067,1061.987212,25148.56687,credit,6487.041997,Medical Expenses,Unemployed,48,0.055287042,approved
0060,30,Retiree,High,Speculation,Master's,Single,1,Europe,Poor,Manufacturing,843.0661012,1000,265.6372091,266.1021627,59.10513843,11.75417904,224.5107469,credit,5000,Debt Consolidation,Retired,36,0.0831,rejected
0061,49,Student,Medium,Speculation,Bachelor's,Married,2,Asia,Excellent,Education,1835.445166,2067.861321,546.4113742,379.1329515,254.495964,55.54887549,235.3253433,credit,5000,Home Improvement,Unemployed,48,0.0477,approved
0062,47,Doctor,High,Income Generation,Bachelor's,Single,2,Asia,Poor,Technology,37756.41084,13805.91125,4669.475841,2345.091682,934.8829067,96.98051918,4178.858293,savings,5685.458226,Small Business,Employed,36,0.075485458,approved
0063,55,Engineer,High,Growth,PhD,Single,1,Africa,Average,Education,772.5046129,1227.539675,399.2480246,106.0401397,115.607421,21.46021047,188.8209675,checking,5000,Auto Purchase,Retired,60,0.0998,pending
0064,58,Doctor,Medium,Income Generation,High School,Single,4,North America,Good,Technology,29260.14602,23978.54927,10404.68114,1424.791849,4708.177145,795.3058137,3846.958504,savings,18517.12328,Small Business,Employed,36,0.085817123,approved
0065,29,Doctor,Medium,Income Generation,High School,Widowed,0,North America,Good,Manufacturing,426.7548674,1000,439.885605,97.77791998,51.40598629,12.20082116,73.28981765,savings,5000,Debt Consolidation,Employed,24,0.0487,approved
0066,23,Engineer,Medium,Speculation,Master's,Widowed,0,Australia,Average,Finance,22850.79432,15757.84425,3247.575935,1289.637915,3448.085136,834.6810449,2563.029069,checking,14668.91817,Small Business,Unemployed,12,0.072068918,approved
0067,25,Data Scientist,High,Growth,PhD,Divorced,1,Australia,Excellent,Manufacturing,183.1454526,1000,198.096577,144.1562195,75.37691849,9.853854644,313.6831943,savings,5000,Auto Purchase,Self-Employed,48,0.0559,approved
0068,47,Engineer,High,Speculation,PhD,Divorced,3,South America,Excellent,Manufacturing,888.2856429,1000,141.193061,255.6184872,154.37741,16.41850006,145.3325743,savings,5000,Small Business,Retired,12,0.0916,pending
0069,35,Retiree,Medium,Income Generation,Master's,Divorced,4,South America,Poor,Technology,20506.96568,16009.93292,2814.341039,1944.677409,823.4334854,158.7236507,1864.603651,savings,9477.772532,Debt Consolidation,Retired,60,0.088977773,pending
0070,39,Teacher,Low,Income Generation,PhD,Married,2,Asia,Excellent,Manufacturing,29.54126996,1000,146.0496005,134.6550767,109.6894796,30.74494444,120.1941316,checking,5000,Auto Purchase,Unemployed,60,0.0666,approved
0071,85,Doctor,High,Speculation,PhD,Divorced,2,Australia,Excellent,Education,2939.600099,3009.484088,1322.357583,701.1593053,628.0371363,50.10979855,211.0783592,investment,5000,Auto Purchase,Retired,24,0.0903,pending
0072,25,Student,Medium,Speculation,High School,Widowed,4,Africa,Excellent,Finance,7572.439891,5735.649182,2782.512694,1413.485615,345.5818098,13.06933638,360.0864714,investment,5000,Medical Expenses,Employed,12,0.0954,pending
0073,83,Student,High,Wealth Preservation,Master's,Divorced,2,North America,Average,Manufacturing,226.1948973,1000,325.449441,235.5638634,206.7615052,2.105523889,196.2471019,credit,5000,Auto Purchase,Employed,12,0.0511,approved
0074,58,Doctor,Low,Growth,Bachelor's,Married,2,Australia,Poor,Technology,48878.27856,76710.1796,36342.22687,5697.535225,11294.85437,1050.20119,5109.476062,credit,40330.89508,Small Business,Unemployed,36,0.129130895,rejected
0075,76,Artist,High,Income Generation,PhD,Married,3,North America,Average,Healthcare,3854.603034,3074.930716,1351.026729,722.4044503,688.1239139,83.33543173,1220.21135,checking,5000,Medical Expenses,Retired,48,0.0832,pending
0076,54,Engineer,Medium,Growth,Master's,Widowed,2,Africa,Average,Retail,161.8671318,1000,386.3500145,81.36891077,193.9611131,3.059827219,56.63510373,savings,5000,Debt Consolidation,Self-Employed,60,0.0544,approved
0077,42,Lawyer,Low,Wealth Preservation,PhD,Divorced,4,Asia,Excellent,Finance,59106.11429,100000,37972.38979,20812.40629,18073.20853,218.618603,14480.27857,investment,50000,Auto Purchase,Retired,36,0.1233,rejected
0078,59,Doctor,Low,Income Generation,Master's,Single,2,Australia,Excellent,Retail,965.1751126,1000,453.5853891,129.3548812,123.5287539,32.01054536,185.5422159,investment,5000,Home Improvement,Retired,24,0.0933,pending
0079,40,Data Scientist,Medium,Growth,High School,Widowed,0,Asia,Good,Finance,14015.28304,12206.12928,4902.915737,717.5036406,1599.673727,236.461479,1064.397203,investment,14372.17417,Home Improvement,Unemployed,12,0.103972174,rejected
0080,73,Manager,Low,Wealth Preservation,PhD,Single,4,South America,Excellent,Retail,1105.257759,1000,404.6175825,152.508196,147.9624823,32.02149476,97.30578304,investment,5000,Medical Expenses,Retired,60,0.0708,rejected
0081,38,Engineer,Low,Income Generation,Master's,Married,2,Asia,Average,Finance,2739.903228,2966.409458,1142.909447,614.9337722,402.4025812,18.26067737,149.84968,savings,5000,Auto Purchase,Self-Employed,60,0.0488,approved
0082,45,Manager,High,Speculation,PhD,Single,1,South America,Poor,Retail,592.5251095,1000,485.7773864,178.5308302,188.352915,39.98618855,292.9054393,checking,5000,Debt Consolidation,Employed,48,0.054,approved
0083,82,Engineer,Low,Growth,PhD,Widowed,0,Africa,Excellent,Healthcare,5840.616689,1000,386.1228275,167.3793698,205.149774,25.78166749,175.1304061,savings,8596.153046,Home Improvement,Employed,60,0.056796153,approved
0084,83,Doctor,Low,Wealth Preservation,Master's,Single,3,Asia,Excellent,Manufacturing,49.94456006,1000,363.5533937,218.1702059,123.6130016,26.6232234,120.2532106,checking,5000,Auto Purchase,Employed,36,0.0831,pending
0085,50,Data Scientist,Medium,Growth,High School,Divorced,0,Africa,Excellent,Healthcare,5102.506769,6070.601484,2849.844837,1129.112795,1199.383467,98.65572035,564.9681678,investment,5000,Small Business,Employed,36,0.0531,approved
0086,50,Data Scientist,Medium,Speculation,Master's,Divorced,2,Europe,Average,Education,1718.175351,2082.742291,648.2874984,488.5516689,360.8868568,87.38714758,159.5799276,credit,5000,Home Improvement,Employed,24,0.0503,approved
0087,83,Manager,Low,Growth,Bachelor's,Divorced,0,Europe,Excellent,Manufacturing,96.94040026,1000,166.8775376,51.5659928,203.3321895,49.13254392,99.75559652,savings,5000,Small Business,Self-Employed,48,0.0734,approved
0088,37,Doctor,High,Income Generation,Master's,Single,3,Asia,Excellent,Retail,686.2261055,1194.067838,518.1395742,326.1250837,216.7297119,27.33865291,176.9070112,credit,5000,Home Improvement,Self-Employed,48,0.0874,pending
0089,42,Artist,Medium,Wealth Preservation,PhD,Single,0,North America,Average,Finance,29228.20967,56145.52187,25777.89476,15021.74259,3094.419948,428.5231439,7068.916423,checking,9474.981596,Home Improvement,Unemployed,24,0.103874982,rejected
0090,49,Engineer,Low,Speculation,PhD,Widowed,0,Australia,Poor,Technology,35443.30398,12300.79537,4823.738708,2029.790117,661.675118,176.0325431,734.8123292,savings,44095.21299,Medical Expenses,Unemployed,60,0.115995213,rejected
0091,61,Manager,Low,Wealth Preservation,Bachelor's,Married,3,South America,Average,Manufacturing,107.7826986,1000,266.1564497,139.622821,173.0701531,48.71774055,129.4959659,savings,5000,Small Business,Employed,24,0.0958,rejected
0092,36,Manager,High,Wealth Preservation,PhD,Single,4,Asia,Good,Technology,23376.8941,40123.15679,8029.041488,10213.09904,4876.295872,193.3091981,13767.54712,credit,15268.52631,Small Business,Self-Employed,36,0.078168526,approved
0093,20,Engineer,Medium,Wealth Preservation,High School,Widowed,3,North America,Excellent,Technology,20093.60109,28440.27448,3074.331711,6569.33515,3256.557906,524.4027988,2829.421112,investment,5000,Small Business,Self-Employed,36,0.0731,approved
0094,69,Teacher,Medium,Income Generation,PhD,Married,4,North America,Excellent,Finance,29908.31174,36596.63175,14583.86865,3610.616955,5366.979246,253.5778693,4169.811248,investment,12787.58511,Small Business,Unemployed,12,0.098387585,rejected
0095,28,Artist,Medium,Speculation,High School,Single,1,Africa,Good,Retail,588.5058582,1000,477.9949076,113.4676318,130.5314363,35.44665479,71.70755459,checking,5000,Small Business,Employed,48,0.0624,approved
0096,66,Developer,Low,Income Generation,PhD,Single,4,Europe,Excellent,Finance,18920.76181,11838.47893,2334.002863,676.435412,2573.836056,220.3877274,1166.641111,savings,24499.76673,Medical Expenses,Retired,36,0.103299767,rejected
0097,57,Artist,High,Speculation,High School,Married,1,Europe,Average,Education,857.1143578,1546.626961,615.7497663,213.1080568,81.20561211,12.5184764,300.6413678,checking,5000,Debt Consolidation,Unemployed,48,0.0725,pending
0098,21,Student,Medium,Speculation,High School,Single,4,South America,Good,Manufacturing,52.97957324,1000,218.5373676,172.061379,176.0426722,37.57578678,80.81810945,credit,5000,Debt Consolidation,Retired,60,0.0753,pending
0099,64,Student,High,Wealth Preservation,Master's,Married,4,South America,Poor,Finance,15657.18638,15001.01462,2763.88627,1636.250626,797.7920447,17.65266609,3344.032279,credit,5000,Small Business,Employed,48,0.0507,approved
0100,60,Manager,High,Income Generation,High School,Married,4,North America,Excellent,Finance,18429.50229,17408.71599,4522.064064,2973.927087,3264.585733,845.8111983,1965.104067,credit,21983.83309,Auto Purchase,Employed,36,0.115383833,rejected
0101,55,Student,Medium,Speculation,High School,Married,3,North America,Excellent,Education,3377.745681,4771.110607,616.9068616,485.3089445,288.5446309,41.24351267,948.2898513,investment,5000,Debt Consolidation,Employed,48,0.0917,pending
0102,52,Artist,Low,Speculation,PhD,Widowed,4,Africa,Good,Finance,11492.17839,3810.396713,685.6970033,982.0152208,436.7881841,50.2547955,559.4066657,checking,13610.11534,Auto Purchase,Unemployed,12,0.098410115,rejected
0103,59,Manager,Medium,Income Generation,High School,Divorced,2,Europe,Good,Education,4591.928415,1067.033237,490.589988,294.5938866,157.2911855,37.59982199,192.7875324,credit,5000,Home Improvement,Unemployed,48,0.0487,approved
0104,27,Artist,Low,Speculation,Bachelor's,Single,4,Europe,Poor,Retail,398.0309511,1000,411.4749918,73.48051936,230.5047089,57.59586729,67.50777272,checking,5000,Medical Expenses,Retired,12,0.0536,approved
0105,72,Lawyer,Medium,Speculation,PhD,Single,3,South America,Poor,Retail,509.1551017,1000,241.643848,77.52146309,162.5355548,14.42636306,197.3000921,credit,5000,Auto Purchase,Retired,48,0.0689,approved
0106,83,Doctor,Low,Income Generation,Bachelor's,Widowed,1,South America,Poor,Technology,89869.99197,100000,20820.89819,8788.06808,23977.28145,3597.375253,19596.39173,investment,50000,Small Business,Retired,60,0.1173,approved
0107,82,Retiree,Low,Income Generation,Master's,Married,1,North America,Average,Retail,10452.8218,3660.359018,1079.380457,363.4661848,893.221262,212.3842796,614.7621002,credit,6451.264014,Small Business,Employed,36,0.101351264,rejected
0108,82,Doctor,Medium,Speculation,High School,Divorced,2,North America,Good,Retail,1399.708286,2613.011041,863.1926669,566.9349363,563.797525,46.61360461,485.1436221,investment,5000,Home Improvement,Employed,60,0.0914,pending
0109,85,Teacher,Low,Growth,Bachelor's,Widowed,2,Asia,Good,Manufacturing,280.0093715,1000,155.1113601,183.0893272,224.3587398,44.39993816,78.51629368,credit,5000,Home Improvement,Unemployed,24,0.071,rejected
0110,54,Data Scientist,High,Wealth Preservation,High School,Widowed,0,Europe,Good,Education,1354.433993,1935.021719,966.9967584,471.3258086,460.9266891,125.7798276,192.3373811,checking,5000,Medical Expenses,Employed,48,0.0641,approved
0111,70,Developer,High,Speculation,Bachelor's,Married,2,North America,Excellent,Finance,29426.05077,7865.810866,3480.404958,1658.523048,1421.293697,183.3367187,622.6605445,savings,40655.87839,Home Improvement,Unemployed,36,0.123055878,rejected
0112,21,Artist,Low,Speculation,Bachelor's,Divorced,3,Africa,Excellent,Retail,361.507624,1000,353.5718296,133.9703909,143.6272018,11.75344399,102.1448581,checking,5000,Home Improvement,Employed,24,0.0828,pending
0113,41,Lawyer,Low,Growth,PhD,Widowed,3,Africa,Good,Education,3845.734578,5529.719229,1904.694906,1201.556908,1236.989377,222.9263982,906.9338451,checking,5000,Home Improvement,Self-Employed,24,0.094,rejected
0114,63,Student,High,Speculation,Bachelor's,Single,3,Australia,Average,Technology,82607.32579,11674.532,1992.722039,2672.165736,1729.172601,260.1751672,4228.866655,savings,47946.28472,Auto Purchase,Self-Employed,12,0.123346285,rejected
0115,56,Doctor,Low,Growth,High School,Married,0,North America,Excellent,Manufacturing,1471.187879,1000,470.646204,155.9511295,99.47066341,0.063127929,86.47711726,credit,5000,Home Improvement,Employed,48,0.0571,approved
0116,64,Student,Low,Wealth Preservation,PhD,Divorced,2,North America,Excellent,Education,11948.89,12177.92295,1383.633085,2327.587961,646.2220834,141.1424796,2283.007481,savings,7898.000444,Debt Consolidation,Unemployed,24,0.063898,approved
0117,63,Teacher,Low,Income Generation,Master's,Married,2,Asia,Excellent,Finance,12176.0468,19927.34061,3142.658993,3001.080533,3395.446481,459.5303132,2943.243711,checking,8338.287608,Medical Expenses,Retired,48,0.085738288,pending
0118,21,Retiree,Low,Income Generation,High School,Married,4,Australia,Excellent,Education,2250.324558,1280.165417,257.9425098,201.0191357,232.5927579,0.23128283,163.0141895,credit,5000,Home Improvement,Retired,60,0.0707,rejected
0119,52,Data Scientist,Medium,Income Generation,Bachelor's,Widowed,0,Australia,Excellent,Retail,698.9437298,1101.041641,148.1442616,234.6962632,192.9853206,24.38109303,180.5306869,investment,5000,Home Improvement,Self-Employed,24,0.0757,rejected
0120,39,Retiree,High,Income Generation,High School,Divorced,0,South America,Average,Finance,5203.710436,7984.151071,1432.711484,1711.184331,1007.676277,287.8037157,679.7423698,savings,5000,Medical Expenses,Retired,24,0.0942,pending
0121,79,Doctor,High,Wealth Preservation,Bachelor's,Single,1,Europe,Average,Manufacturing,106.3702909,1000,281.1253805,139.6635973,79.73594373,11.07915527,327.4793772,credit,5000,Small Business,Unemployed,12,0.0953,rejected
0122,20,Developer,Medium,Growth,High School,Married,1,Europe,Average,Education,884.6595214,1000,279.7124165,178.8850432,189.1957334,56.03035556,190.2773075,checking,5000,Home Improvement,Unemployed,24,0.0504,approved
